Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision
Bulls, Forest Road,17365,E05222,-40.25285,175.27175,11
Glen Oroua, Milner Road,39259,E05344,-40.331,175.406,17
Bainesse,3253,E05432,-40.40921,175.37845,29,H
Opiki,3255,E05442,-40.44031,175.46436,11,H
Moutoa,3269,E05531,-40.536,175.339,3,G
Levin Aws,3275,E05620,-40.622,175.257,14,T
Stephens Island,4153,G04601,-40.666,174.001,187,G
Putara,2395,D05651,-40.66774,175.56517,299,H
Manakau,3302,E05722,-40.720,175.216,30,G
Te Horo, Jonelle,7387,E05717,-40.790,175.158,45
Te Horo, Longcroft,3308,E05811,-40.817,175.148,61
Kapiti Island,3144,E04891,-40.85463,174.93163,18,H
Masterton, Bagshot Stn,2446,D05872,-40.87510,175.76813,171
Waikanae Waterworks,3307,E05802,-40.88940,175.07200,30,H
Reikorangi,3327,E05912,-40.903,175.110,125,T
Paraparaumu Ews,12442,E04995,-40.90392,174.98437,5,H
Paraparaumu Aero,3145,E04991,-40.907,174.984,5,G
Paraparaumu Aero Aws,8567,E04994,-40.907,174.984,5,G
Masterton, Te Ore Ore Cws,37662,D05974,-40.957,175.707,110
Wairarapa Cadet Farm,2609,D15061,-41.00618,175.64078,106,H
Titirangi Bay,4390,G14012,-41.021,174.145,46,G
Maud Island,13585,G13083,-41.029,173.896,15,T
Gladstone  Te Kopi,2613,D15071,-41.03687,175.70768,111,H
Kaitoke Headworks,3469,E15021,-41.067,175.188,189,T
Woodside 2,2599,D15032,-41.077,175.378,82,G
Mana Island,3334,E14072,-41.09429,174.78517,2,H
Pelorus Sd, Crail Bay,4232,G13195,-41.10308,173.96406,13
Brothers Island Aws,4395,G14142,-41.103,174.442,68,G
The Downs,2631,D15151,-41.106,175.560,61,G
Gladstone,Bannockburn,2633,D15161,-41.10943,175.63640,102
Okiwi Bay,12635,G13162,-41.113,173.667,3,T
Judgeford,3373,E14199,-41.123,174.941,24,G
U Hutt,Tennyson St,3479,E15104,-41.124,175.043,55
Wallaceville Ews,17029,E1510G,-41.13540,175.05275,56,H
Trentham Racecourse,3476,E15101,-41.140,175.041,52,G
Martinbor,Riverside,2629,D15142,-41.179,175.482,55
Kahutara,2624,D15135,-41.194,175.348,9,G
Mangaroa At Tasman Vaccine,3496,E15204,-41.195,175.015,229,G
Waikoukou,Longbush,2657,D15263,-41.201,175.607,122
Maungaraki 3,38794,E1428E,-41.21207,174.87641,138,H
Mahaki,2648,D15244,-41.23752,175.42503,24,H
Martinborough Ews,21938,D15234,-41.25231,175.38985,20,H
Te Wharau,Waimoana,2659,D15282,-41.268,175.886,6
Wainuiomata Reservoir,3422,E14294,-41.272,174.989,125,G
Wellington, Kelburn Aws,25354,E1427P,-41.285,174.768,125
Wellington, Kelburn,3385,E14272,-41.286,174.767,125
Linkwater,4255,G13281,-41.291,173.872,25,G
Karori Reservoir,3384,E14271,-41.293,174.752,141,G
Wellington Aero,3445,E14387,-41.322,174.804,4,G
Te Wharau, Glenburn,2675,D15381,-41.32716,175.84032,20
Ocean Bay,4407,G14311,-41.336,174.096,9,G
Pirinoa,2665,D15321,-41.364,175.210,52,G
Lagoon Hill,2672,D15352,-41.39042,175.52414,113,H
Greentops,2684,D15451,-41.481,175.576,15,T
Blenheim Research Ews,12430,G13495,-41.49891,173.96285,4,H
Homeburn Stn,2687,D15532,-41.514,175.373,107,G
Blenheim Aero,4322,G13581,-41.520,173.872,40,G
Blenheim Aero Aws,4326,G13585,-41.523,173.865,35,G
Sevenoaks,4323,G13582,-41.536,173.826,55,G
Ngawi Aws,2685,D15521,-41.589,175.233,6,G
Awatere Valley, Dashwood Raws,18468,G14604,-41.64724,174.07274,83
Grassmere Salt Works,4420,G14711,-41.729,174.145,2,G
Cape Campbell Aws,4424,G14722,-41.730,174.276,2,G
Ward,Chancet,4425,G14811,-41.831,174.171,20
Kekerengu,Valhalla,18392,G23093,-42.011,173.986,68
Ngaio Downs,4465,G23092,-42.072,173.945,24,G
Reefton Ews,3925,F21182,-42.117,171.860,198,G
